start,end,name,index
44.61,48.08,a_walk,4
48.09,49.02,t_turn,19
49.02,51.08,p_stand,10
51.08,52.295,t_turn,19
52.295,58.455,p_stand,10
58.455,59.425,t_turn,19
59.425,62.01,t_turn,19
62.01,75.08,p_stand,10
75.08,78.27,a_walk,4
78.28,81.625,p_stand,10
81.625,84.01,p_stand,10
84.01,86.485,t_turn,19
86.485,99.37,p_stand,10
99.37,100.61,t_stand_kneel,16
100.61,102.85,p_kneel,6
102.85,104.25,t_kneel_stand,12
104.265,105.53,p_stand,10
109.11,110.66,t_stand_kneel,16
110.66,115.17,p_kneel,6
115.17,116.24,t_kneel_stand,12
116.255,120.92,p_stand,10
120.92,123.445,a_walk,4
123.445,123.89,t_turn,19
123.89,124.585,t_stand_sit,17
124.585,128.24,p_sit,8
128.24,130.28,t_sit_lie,14
130.28,135.035,p_lie,7
135.035,136.25,t_turn,19
136.25,141.405,p_lie,7
141.405,142.82,t_turn,19
142.82,150.435,p_lie,7
150.435,152.965,t_lie_sit,13
152.965,157.075,p_sit,8
157.075,157.685,t_sit_stand,15
157.685,167.635,p_stand,10
167.635,168.37,t_stand_kneel,16
168.37,172.565,p_kneel,6
172.565,173.28,t_kneel_stand,12
173.28,178.445,p_stand,10
179.46,184.52,p_squat,9
185.215,189.56,p_stand,10
189.56,190.08,t_stand_sit,17
190.08,195.355,p_sit,8
195.355,197.785,t_sit_lie,14
197.785,202.775,p_lie,7
202.775,204.205,t_turn,19
204.205,209.095,p_lie,7
209.095,210.663,t_turn,19
210.663,215.29,p_lie,7
215.29,217.942,t_lie_sit,13
217.942,222.726,p_sit,8
222.726,223.549,t_sit_stand,15
223.549,232.683,p_stand,10
232.683,233.841,t_stand_kneel,16
233.841,238.316,p_kneel,6
238.316,239.067,t_kneel_stand,12
239.067,243.978,p_stand,10
245.263,249.972,p_squat,9
250.757,255.46,p_stand,10
255.46,256.188,t_stand_sit,17
256.188,260.865,p_sit,8
260.865,263.075,t_sit_lie,14
263.075,267.278,p_lie,7
267.278,268.467,t_turn,19
268.467,274.012,p_lie,7
274.012,274.873,t_turn,19
274.873,280.854,p_lie,7
280.854,282.354,t_lie_sit,13
282.354,287.809,p_sit,8
287.809,288.645,t_sit_stand,15
288.645,297.676,p_stand,10
297.676,298.518,t_stand_kneel,16
298.518,301.638,p_kneel,6
301.638,302.67,t_kneel_stand,12
302.67,308.126,p_stand,10
309.151,314.056,p_squat,9
314.803,317.822,p_stand,10
317.822,319.885,t_stand_sit,17
319.885,324.386,p_sit,8
324.386,325.588,t_sit_lie,14
325.588,328.671,p_lie,7
328.671,329.399,t_turn,19
329.399,335.887,p_lie,7
335.887,336.842,t_turn,19
336.842,343.213,p_lie,7
343.213,344.705,t_lie_sit,13
344.705,349.091,p_sit,8
349.091,349.749,t_sit_stand,15
349.749,357.231,p_stand,10
357.231,358.52,t_stand_kneel,16
358.52,363.257,p_kneel,6
363.257,364.283,t_kneel_stand,12
364.283,368.933,p_stand,10
369.696,375.433,p_squat,9
376.503,379.529,p_stand,10
379.529,382.046,t_stand_sit,17
382.046,385.941,p_sit,8
385.941,386.704,t_sit_lie,14
386.704,391.949,p_lie,7
391.949,393.308,t_turn,19
393.308,398.642,p_lie,7
398.668,400.001,t_turn,19
400.045,406.194,p_lie,7
406.194,407.747,t_lie_sit,13
407.747,411.624,p_sit,8
411.624,412.501,t_sit_stand,15
412.501,419.15,p_stand,10
419.15,422.974,a_walk,4
422.983,424.325,p_stand,10
424.325,429.509,a_walk,4
429.509,434.079,a_descend,1
434.079,437.026,a_walk,4
437.026,438.508,p_stand,10
438.508,442.429,a_walk,4
442.429,443.078,p_stand,10
443.078,443.99,t_turn,19
443.999,452.244,p_stand,10
452.244,454.41,t_turn,19
454.41,460.646,p_stand,10
460.646,462.014,t_turn,19
462.014,465.239,a_walk,4
465.239,468.23,t_bend,11
468.23,471.783,p_bent,5
471.783,473.151,t_straighten,18
473.151,474.765,t_straighten,18
474.765,478.633,a_walk,4
478.633,491.369,p_stand,10
491.369,492.045,t_turn,19
492.045,493.16,p_stand,10
493.16,494.245,t_turn,19
494.245,500.775,p_stand,10
500.775,501.549,t_turn,19
501.549,503.177,p_stand,10
503.177,503.81,t_turn,19
503.81,506.806,p_stand,10
506.806,508.16,t_turn,19
508.16,509.222,p_stand,10
509.222,509.412,t_turn,19
509.412,517.041,p_stand,10
517.054,520.05,t_turn,19
520.05,520.997,p_stand,10
520.997,521.749,t_turn,19
521.776,535.158,p_stand,10
535.158,535.344,t_turn,19
535.344,538.813,p_stand,10
538.813,540.056,a_walk,4
540.056,540.596,p_stand,10
540.596,541.264,t_turn,19
541.264,543.326,p_stand,10
543.326,544.645,t_turn,19
544.645,545.516,p_stand,10
545.516,547.078,a_walk,4
547.078,551.515,p_stand,10
551.515,552.396,t_turn,19
552.396,553.032,p_stand,10
553.032,553.939,t_turn,19
553.939,555.364,a_walk,4
555.364,556.245,t_turn,19
556.245,556.82,a_walk,4
556.82,585.908,p_stand,10
585.908,586.2,t_turn,19
586.2,595.275,p_stand,10
595.275,595.811,t_turn,19
595.811,599.838,a_walk,4
599.838,629.093,p_stand,10
629.093,630.882,t_turn,19
630.882,638.046,p_stand,10
638.046,638.466,t_turn,19
638.466,640.638,a_walk,4
640.638,641.028,p_stand,10
641.028,641.607,t_turn,19
641.607,646.618,p_stand,10
646.618,647.622,t_turn,19
